ris rrc01 update 1446789125 valid A 195.66.226.20 56730 {'next-hop': '195.66.225.109', 'prefix': '1.4.128.0/17', 'as-path': '56730 9498'}
ris rrc01 update 1446789125 valid A 195.66.226.20 56730 {'next-hop': '195.66.225.109', 'prefix': '1.4.192.0/19', 'as-path': '56730 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.242 24482 {'next-hop': '198.32.160.242', 'prefix': '1.9.0.0/16', 'as-path': '24482 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.177 7575 {'next-hop': '198.32.176.203', 'prefix': '1.4.128.0/17', 'as-path': '7575 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.59 29140 {'next-hop': '80.81.194.59', 'prefix': '1.4.128.0/17', 'as-path': '29140 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.59 29140 {'next-hop': '80.81.194.59', 'prefix': '1.4.192.0/18', 'as-path': '29140 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.59 29140 {'next-hop': '80.81.194.59', 'prefix': '1.4.192.0/19', 'as-path': '29140 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.169 38880 {'next-hop': '202.79.197.169', 'prefix': '1.4.128.0/17', 'as-path': '38880 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.169 38880 {'next-hop': '202.79.197.169', 'prefix': '1.4.192.0/18', 'as-path': '38880 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.169 38880 {'next-hop': '202.79.197.169', 'prefix': '1.4.192.0/19', 'as-path': '38880 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.169 38880 {'next-hop': '202.79.197.169', 'prefix': '1.9.0.0/16', 'as-path': '38880 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.169 38880 {'next-hop': '202.79.197.169', 'prefix': '1.9.177.0/24', 'as-path': '38880 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.4.128.0/17', 'as-path': '13030 9498'}
